beneficiary_id,Beneficiary_creationDate,Beneficiary_modificationdate,subscription_id,Subscription_CreationDate,Subscription_modificationDate
21897,"2015-10-20 01:59:38","2015-10-20 01:59:38",21898,"2015-10-20 01:59:38","2017-01-01 22:43:20"
21903,"2015-10-20 01:59:38","2015-10-20 01:59:38",21904,"2015-10-20 01:59:38","2017-01-15 22:37:27"
21906,"2015-10-20 01:59:38","2015-10-20 01:59:38",21907,"2015-10-20 01:59:38","2016-12-20 23:51:17"
22104,"2015-10-20 01:59:39","2015-10-20 01:59:39",22105,"2015-10-20 01:59:39","2016-12-16 22:46:21"
22107,"2015-10-20 01:59:39","2015-10-20 01:59:39",22108,"2015-10-20 01:59:39","2016-12-17 22:50:47"
22110,"2015-10-20 01:59:39","2015-10-20 01:59:39",22111,"2015-10-20 01:59:39","2016-12-20 22:53:20"
22113,"2015-10-20 01:59:39","2015-10-20 01:59:39",22114,"2015-10-20 01:59:39","2016-12-20 23:51:17"
22116,"2015-10-20 01:59:39","2015-10-20 01:59:39",22117,"2015-10-20 01:59:39","2016-12-18 22:50:11"
22125,"2015-10-20 01:59:39","2015-10-20 01:59:39",22126,"2015-10-20 01:59:39","2016-12-02 23:53:00"
22131,"2015-10-20 01:59:39","2015-10-20 01:59:39",22132,"2015-10-20 01:59:39","2016-12-14 22:44:04"
22140,"2015-10-20 01:59:39","2015-10-20 01:59:39",22141,"2015-10-20 01:59:39","2016-12-19 22:49:25"
22143,"2015-10-20 01:59:39","2015-10-20 01:59:39",22144,"2015-10-20 01:59:39","2016-12-20 13:55:24"
22149,"2015-10-20 01:59:39","2015-10-20 01:59:39",22150,"2015-10-20 01:59:39","2017-01-18 22:40:16"
22587,"2015-10-20 01:59:41","2015-10-20 01:59:41",22588,"2015-10-20 01:59:41","2016-12-04 00:07:00"
22602,"2015-10-20 01:59:41","2015-10-20 01:59:41",22603,"2015-10-20 01:59:41","2016-12-17 22:50:41"
22608,"2015-10-20 01:59:41","2015-10-20 01:59:41",22609,"2015-10-20 01:59:41","2016-12-05 23:54:04"
22614,"2015-10-20 01:59:41","2015-10-20 01:59:41",22615,"2015-10-20 01:59:41","2016-12-22 22:42:17"
